"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[91,1]",-7.22460032642518,3.56696318781892,-14.1671245102957,-9.61546410216956,-7.20221196422023,-4.80770935569687,-0.187566943855376,1.00016322680034,15000,0,0.9778
"BB[92,1]",-5.98707722227147,3.78896411706571,-13.4614258683432,-8.50900614596431,-6.01289675480941,-3.46255179373567,1.53114736885777,0.999989406929925,15000,1,0.9428
"BB[93,1]",-5.60197366038419,3.92516777449508,-13.2157681382061,-8.22709084995864,-5.64680979382515,-2.97594456824997,2.19776449879388,1.00035614989801,13552,1,0.922266666666667
"BB[94,1]",-1.68618748136037,3.31152298084776,-8.0409975847264,-3.94018029483065,-1.73207135616201,0.528130787395654,4.94622371644025,1.00041830191249,5097,1,0.699666666666667
"BB[95,1]",-5.00265677835288,2.85097460937489,-10.5482348207177,-6.95001104679065,-5.01811807901434,-3.09200231110601,0.572548258622777,0.999999734881112,15000,1,0.960733333333333
"BB[96,1]",-2.18130595335606,3.47032213452847,-8.79511487107284,-4.55346256665268,-2.25649700349053,0.110651245187429,4.81356477243283,1.00059919312869,3873,1,0.738933333333333
"BB[97,1]",-4.13261885521312,3.53483204832712,-10.9707890624559,-6.50972375106584,-4.14916149019616,-1.78632802550444,2.87809098317015,1.00001811629295,15000,1,0.8796
"BB[98,1]",-4.87737188161752,3.92757565699001,-12.6420309763536,-7.48374998646732,-4.91534579109139,-2.30011174673012,2.8941486228946,1.00031157988654,15000,1,0.894733333333333
"BB[99,1]",-8.80481479077019,3.68132521646137,-16.1743611744892,-11.2320620790776,-8.74352386533432,-6.32142215336412,-1.58988906846931,1.00039186620765,4673,0,0.992866666666667
"BB[100,1]",-3.29104783080582,3.77472035909052,-10.4298993830682,-5.86654695359408,-3.35776890180953,-0.821899099763303,4.25717084222784,1.00024154432165,6418,1,0.810866666666667
"BB[101,1]",-6.62462293798336,3.30588164788885,-13.1076533239775,-8.85948702208133,-6.60705164441977,-4.40577687304541,-0.161772785114525,1.00065967557174,3593,0,0.9778
"BB[102,1]",-5.80267082869208,3.72718907603011,-13.275937118417,-8.24009041820024,-5.79274398911365,-3.34213915208536,1.43178806435041,1.00011087979027,15000,1,0.941066666666667
"BB[103,1]",-5.21895333672148,3.67888075693214,-12.3531231869931,-7.68761454516319,-5.25254851395174,-2.77289151764809,2.14821609529447,1.00002863783954,15000,1,0.9222
"BB[104,1]",-6.01449801949451,3.99790645937717,-13.8330243651972,-8.65784896082237,-6.01104553666001,-3.40027515390048,1.92731302615729,1.00007233996345,15000,1,0.9324
"BB[105,1]",-3.81377023431919,3.98158605717344,-11.5254095429777,-6.48379203391657,-3.85675844421483,-1.19073834956094,4.11216344731621,1.00045009793338,4049,1,0.831733333333333
"BB[106,1]",-4.23875131544513,2.85602946655662,-9.786840176952,-6.16957622825194,-4.24581132059783,-2.3451639781894,1.45525907518691,1.00055800208628,3384,1,0.931133333333333
"BB[107,1]",-7.59813187148332,3.95845242409005,-15.4745842863781,-10.2386559102745,-7.59702404939459,-4.9636631943766,0.117859238964739,1.00013313263454,15000,1,0.9734
"BB[108,1]",-7.30125588768127,3.14238908038136,-13.5315136472601,-9.37209423451837,-7.27991097199116,-5.20493944386452,-1.17516483231696,1.00019202318912,14327,0,0.989266666666667
"BB[109,1]",-6.71818845123902,3.79020449986572,-14.2193423472502,-9.23160587601557,-6.68743105564508,-4.17556361837467,0.582300250247051,1.00025799879858,15000,1,0.965
"BB[110,1]",-8.08910080998845,3.85676487003998,-15.7934608856483,-10.6209399446021,-8.01028171578676,-5.53984374130611,-0.612918047016468,1.00011636457127,15000,0,0.983333333333333
"BB[111,1]",-6.47233997921658,3.68237016225752,-13.6950236398192,-8.90797882903633,-6.48368145062249,-4.05039028493903,0.852859747806786,1.0002564225424,12478,1,0.960333333333333
"BB[112,1]",-3.11004879973328,3.5194097846625,-9.8163139482819,-5.48880495709451,-3.22375116069291,-0.787991820420453,4.01520449874471,1.0004316547142,4809,1,0.813066666666667
"BB[113,1]",-3.79833552578299,4.16996726741112,-11.7655524668735,-6.6103320420594,-3.89337723784056,-1.08740813950334,4.72373990764259,1.00037422522207,5694,1,0.822666666666667
"BB[114,1]",-8.57741894502882,3.5224985957696,-15.5659192888302,-10.9527379105583,-8.54047685561473,-6.20024386531647,-1.7619888037487,1.00012591342122,15000,0,0.9936
"BB[115,1]",-7.30560309459697,3.75320348691581,-14.7554985676965,-9.8098600259687,-7.30556561527374,-4.83004923896964,0.0637340879157559,1.00057206865177,5060,1,0.974
"BB[116,1]",-4.0001037329979,3.89106680339463,-11.603537021477,-6.57365513486232,-4.07601417590204,-1.39848691498774,3.68835736028035,1.00031801046034,5229,1,0.847333333333333
"BB[117,1]",-6.83634509905911,3.84396775305843,-14.3136622458693,-9.41973081895694,-6.82784582381428,-4.30125191731546,0.726934774087646,1.00016164848923,15000,1,0.961266666666667
"BB[118,1]",-5.30913000192682,3.42099336705708,-12.0020153520065,-7.61216781011011,-5.27882560192089,-3.09166824383176,1.48625166516361,1.00019603875471,15000,1,0.939666666666667
"BB[119,1]",-7.20330969741577,3.73538750741018,-14.6358281217894,-9.68513981231803,-7.15605399483301,-4.72426300863858,0.0401752059957264,1.00015625276449,15000,1,0.974466666666667
"BB[120,1]",-6.83592065265479,3.49247190297639,-13.8396797446951,-9.16317980483965,-6.78581572271751,-4.48460591377578,-0.0861612508743245,1.00041524426616,7769,0,0.976066666666667
"BB[121,1]",-7.70318104923267,3.84600427191172,-15.4280075777538,-10.2239242032143,-7.67268339546401,-5.12754128480512,-0.135577882555344,1.00027470601042,14056,0,0.976533333333333
"BB[122,1]",-4.0416859951194,3.48353496491219,-10.8166708363159,-6.38599607151627,-4.09834357957449,-1.70819190020567,2.93805104662937,0.999970865868849,15000,1,0.879533333333333
"BB[123,1]",-6.10858650345865,3.93505000548567,-13.8200104619384,-8.74076158490045,-6.11803198042398,-3.55151237193176,1.69929070656721,1.00051679559903,5024,1,0.938066666666667
"BB[124,1]",-5.52505051995782,2.97348981567251,-11.3188395502708,-7.5224276478809,-5.55274812761103,-3.51036272807607,0.249478696257571,1.00000736608426,15000,1,0.969133333333333
